Soil_Type,Soil_Moisture_Level,Soil_Nitrogen_Level (N),Soil_Phosphorus_Level (P),Soil_Potassium_Level (K),Rainfall,Region_Name,Season,Recommended_Crops
Loamy,36.00%,31,33,73,909 mm,Punjab,Zaid,"['Barley', 'Maize']"
Sandy Loam,53.00%,107,80,105,872 mm,Karnataka,Zaid,['Chickpea']
Black Cotton Soil,14.00%,49,80,80,1056 mm,Punjab,Rabi,['Soybean']
Black Cotton Soil,21.00%,91,43,42,831 mm,Andhra Pradesh,Zaid,"['Cotton', 'Sorghum']"
Clayey,57.00%,69,85,20,1039 mm,Odisha,Kharif,"['Jute', 'Rice']"
Silty Loam,28.00%,50,79,20,1089 mm,Maharashtra,Rabi,"['Mustard', 'Vegetables']"
Black Cotton Soil,16.00%,116,22,99,447 mm,Karnataka,Rabi,['Soybean']
Black Cotton Soil,21.00%,49,51,68,469 mm,Andhra Pradesh,Rabi,"['Cotton', 'Sorghum']"
Clayey,30.00%,111,75,23,822 mm,Karnataka,Rabi,"['Rice', 'Sugarcane', 'Jute']"
Black Cotton Soil,54.00%,79,66,74,1093 mm,Odisha,Zaid,"['Cotton', 'Sorghum', 'Soybean']"
Sandy Loam,26.00%,71,24,79,478 mm,West Bengal,Zaid,['Groundnut']
Clayey,25.00%,53,52,41,1003 mm,Maharashtra,Zaid,"['Rice', 'Jute', 'Sugarcane']"
Clayey,55.00%,82,54,71,300 mm,Odisha,Rabi,"['Jute', 'Sugarcane', 'Rice']"
Sandy Loam,56.00%,38,60,47,339 mm,West Bengal,Rabi,"['Cotton', 'Chickpea']"
Sandy Loam,38.00%,32,21,108,1017 mm,Punjab,Zaid,['Chickpea']
Loamy,10.00%,107,68,23,1006 mm,Odisha,Kharif,"['Wheat', 'Maize']"
Black Cotton Soil,15.00%,91,63,47,882 mm,Andhra Pradesh,Zaid,"['Sorghum', 'Cotton']"
Black Cotton Soil,27.00%,85,82,55,366 mm,Karnataka,Rabi,['Sorghum']
Loamy,29.00%,86,88,80,834 mm,Karnataka,Rabi,"['Maize', 'Barley', 'Wheat']"
Black Cotton Soil,27.00%,101,73,107,1192 mm,Odisha,Rabi,"['Soybean', 'Sorghum']"
Loamy,40.00%,80,69,24,426 mm,Andhra Pradesh,Zaid,"['Maize', 'Wheat', 'Barley']"
Sandy Loam,45.00%,33,29,57,1123 mm,Karnataka,Zaid,"['Cotton', 'Chickpea']"
Black Cotton Soil,28.00%,58,79,53,1185 mm,Punjab,Kharif,"['Cotton', 'Sorghum', 'Soybean']"
Sandy Loam,55.00%,116,61,88,436 mm,Maharashtra,Kharif,"['Groundnut', 'Chickpea']"
Silty Loam,43.00%,60,35,45,673 mm,Tamil Nadu,Kharif,['Pulses']
Black Cotton Soil,52.00%,61,54,82,974 mm,Andhra Pradesh,Zaid,"['Soybean', 'Cotton']"
Black Cotton Soil,23.00%,41,31,82,908 mm,West Bengal,Zaid,"['Soybean', 'Cotton', 'Sorghum']"
Clayey,53.00%,61,36,58,798 mm,West Bengal,Zaid,"['Rice', 'Sugarcane', 'Jute']"
Loamy,56.00%,82,88,56,483 mm,Karnataka,Zaid,"['Wheat', 'Barley', 'Maize']"
Loamy,49.00%,66,87,45,1066 mm,Maharashtra,Kharif,"['Barley', 'Maize', 'Wheat']"
Silty Loam,21.00%,78,53,54,720 mm,Odisha,Zaid,"['Pulses', 'Vegetables']"
Sandy Loam,27.00%,65,22,101,811 mm,Andhra Pradesh,Zaid,"['Cotton', 'Groundnut', 'Chickpea']"
Black Cotton Soil,16.00%,42,20,63,1182 mm,Karnataka,Zaid,['Soybean']
Clayey,50.00%,67,41,77,755 mm,Odisha,Rabi,"['Sugarcane', 'Jute']"
Clayey,20.00%,95,27,31,737 mm,Maharashtra,Kharif,"['Sugarcane', 'Jute', 'Rice']"
Sandy Loam,13.00%,70,55,110,540 mm,Odisha,Kharif,"['Groundnut', 'Cotton', 'Chickpea']"
Sandy Loam,26.00%,87,86,73,1072 mm,Tamil Nadu,Zaid,"['Cotton', 'Chickpea']"
Clayey,45.00%,119,88,40,882 mm,Maharashtra,Rabi,"['Jute', 'Sugarcane', 'Rice']"
Clayey,47.00%,94,70,32,454 mm,Tamil Nadu,Zaid,"['Jute', 'Rice', 'Sugarcane']"
Silty Loam,24.00%,48,23,32,772 mm,West Bengal,Rabi,['Pulses']
Silty Loam,31.00%,85,68,79,415 mm,West Bengal,Zaid,['Mustard']
Loamy,26.00%,99,60,103,644 mm,Andhra Pradesh,Kharif,"['Wheat', 'Maize', 'Barley']"
Loamy,38.00%,54,74,34,539 mm,West Bengal,Zaid,"['Maize', 'Wheat']"
Black Cotton Soil,30.00%,70,76,46,382 mm,Karnataka,Rabi,['Cotton']
Black Cotton Soil,16.00%,74,81,76,1132 mm,Punjab,Kharif,['Cotton']
Loamy,11.00%,98,48,63,945 mm,Karnataka,Zaid,['Wheat']
Loamy,24.00%,37,41,109,1029 mm,Andhra Pradesh,Rabi,"['Wheat', 'Barley']"
Sandy Loam,23.00%,104,78,94,1068 mm,Karnataka,Zaid,['Chickpea']
Loamy,16.00%,75,88,92,478 mm,Odisha,Zaid,['Wheat']
Loamy,58.00%,34,61,64,1004 mm,West Bengal,Zaid,"['Barley', 'Maize', 'Wheat']"
Clayey,56.00%,36,78,78,728 mm,West Bengal,Kharif,"['Rice', 'Jute', 'Sugarcane']"
Black Cotton Soil,57.00%,75,56,22,784 mm,Andhra Pradesh,Kharif,"['Soybean', 'Cotton']"
Clayey,26.00%,78,23,27,649 mm,West Bengal,Kharif,"['Rice', 'Jute']"
Clayey,54.00%,55,27,27,775 mm,Andhra Pradesh,Rabi,['Sugarcane']
Sandy Loam,48.00%,68,81,97,590 mm,Tamil Nadu,Zaid,"['Cotton', 'Groundnut']"
Loamy,52.00%,50,30,46,664 mm,Andhra Pradesh,Rabi,['Barley']
Loamy,48.00%,90,36,36,787 mm,Maharashtra,Rabi,['Maize']
Clayey,14.00%,82,38,82,1129 mm,Karnataka,Kharif,['Sugarcane']
Sandy Loam,27.00%,36,40,108,1021 mm,Tamil Nadu,Kharif,['Chickpea']
Sandy Loam,52.00%,30,57,96,808 mm,Maharashtra,Rabi,['Cotton']
Clayey,16.00%,119,57,32,1015 mm,Odisha,Rabi,"['Rice', 'Jute']"
Black Cotton Soil,23.00%,80,90,27,800 mm,Odisha,Zaid,['Soybean']
Loamy,50.00%,75,27,98,719 mm,Odisha,Rabi,"['Wheat', 'Maize']"
Black Cotton Soil,30.00%,113,20,34,544 mm,West Bengal,Rabi,['Soybean']
Loamy,27.00%,80,63,72,476 mm,Maharashtra,Kharif,"['Barley', 'Wheat', 'Maize']"
Loamy,39.00%,38,84,73,1155 mm,West Bengal,Zaid,"['Wheat', 'Barley']"
Loamy,58.00%,81,58,46,809 mm,Karnataka,Zaid,['Wheat']
Silty Loam,51.00%,112,44,98,567 mm,West Bengal,Kharif,['Pulses']
Black Cotton Soil,31.00%,60,79,81,610 mm,Karnataka,Zaid,['Soybean']
Black Cotton Soil,11.00%,57,48,71,923 mm,Tamil Nadu,Zaid,"['Soybean', 'Cotton']"
Sandy Loam,56.00%,50,80,84,1025 mm,Tamil Nadu,Kharif,['Groundnut']
Sandy Loam,47.00%,51,45,36,335 mm,Odisha,Rabi,"['Cotton', 'Chickpea']"
Loamy,25.00%,62,89,99,643 mm,Andhra Pradesh,Kharif,"['Barley', 'Maize']"
Silty Loam,43.00%,113,63,30,446 mm,Karnataka,Kharif,"['Pulses', 'Vegetables']"
Sandy Loam,43.00%,95,84,42,654 mm,West Bengal,Kharif,['Groundnut']
Sandy Loam,24.00%,85,36,88,724 mm,Karnataka,Zaid,"['Cotton', 'Chickpea', 'Groundnut']"
Silty Loam,33.00%,100,23,99,1094 mm,Tamil Nadu,Zaid,"['Vegetables', 'Mustard']"
Sandy Loam,24.00%,76,59,96,826 mm,Karnataka,Kharif,['Groundnut']
Clayey,21.00%,108,27,63,1169 mm,Tamil Nadu,Zaid,['Jute']
Silty Loam,23.00%,58,31,93,701 mm,Maharashtra,Kharif,"['Mustard', 'Vegetables', 'Pulses']"
Black Cotton Soil,37.00%,41,81,65,410 mm,Andhra Pradesh,Kharif,"['Sorghum', 'Soybean']"
Sandy Loam,14.00%,50,20,65,1021 mm,Karnataka,Rabi,['Groundnut']
Sandy Loam,20.00%,64,23,108,354 mm,Tamil Nadu,Zaid,['Cotton']
Black Cotton Soil,17.00%,119,46,30,892 mm,Odisha,Zaid,['Sorghum']
Loamy,32.00%,34,63,78,1117 mm,West Bengal,Zaid,"['Maize', 'Wheat']"
Clayey,39.00%,104,63,47,499 mm,Odisha,Zaid,"['Rice', 'Jute', 'Sugarcane']"
Loamy,19.00%,52,75,87,362 mm,Tamil Nadu,Zaid,['Barley']
Sandy Loam,30.00%,49,88,34,544 mm,Odisha,Kharif,"['Groundnut', 'Chickpea', 'Cotton']"
Sandy Loam,32.00%,54,23,23,659 mm,Maharashtra,Rabi,['Chickpea']
Silty Loam,19.00%,47,90,83,860 mm,Punjab,Rabi,['Mustard']
Sandy Loam,28.00%,75,41,89,568 mm,Punjab,Zaid,['Chickpea']
Clayey,49.00%,100,87,72,426 mm,West Bengal,Kharif,"['Jute', 'Rice', 'Sugarcane']"
Sandy Loam,56.00%,89,27,109,1163 mm,Tamil Nadu,Zaid,['Chickpea']
Sandy Loam,27.00%,72,20,41,766 mm,West Bengal,Rabi,"['Cotton', 'Groundnut']"
Black Cotton Soil,28.00%,96,24,26,338 mm,Tamil Nadu,Zaid,"['Sorghum', 'Cotton']"
Loamy,20.00%,84,54,81,813 mm,Andhra Pradesh,Zaid,"['Barley', 'Wheat']"
Clayey,26.00%,98,71,40,330 mm,Punjab,Kharif,['Sugarcane']
Loamy,41.00%,91,24,104,342 mm,Odisha,Kharif,"['Maize', 'Wheat']"
Sandy Loam,40.00%,43,82,60,778 mm,Andhra Pradesh,Rabi,"['Chickpea', 'Cotton']"
Loamy,55.00%,37,31,39,633 mm,Odisha,Rabi,"['Maize', 'Wheat', 'Barley']"
Clayey,53.00%,42,64,35,394 mm,West Bengal,Zaid,"['Rice', 'Jute', 'Sugarcane']"
Clayey,25.00%,44,26,33,659 mm,Maharashtra,Kharif,"['Sugarcane', 'Jute']"
Silty Loam,22.00%,103,42,71,740 mm,Andhra Pradesh,Rabi,"['Pulses', 'Mustard', 'Vegetables']"
Clayey,50.00%,83,79,61,1124 mm,Andhra Pradesh,Rabi,"['Sugarcane', 'Rice']"
Silty Loam,46.00%,57,88,99,909 mm,West Bengal,Rabi,['Mustard']
Silty Loam,16.00%,70,46,40,732 mm,West Bengal,Zaid,"['Vegetables', 'Pulses', 'Mustard']"
Loamy,23.00%,117,62,44,1089 mm,Andhra Pradesh,Zaid,"['Wheat', 'Barley', 'Maize']"
Black Cotton Soil,43.00%,103,37,25,901 mm,Tamil Nadu,Zaid,"['Soybean', 'Sorghum']"
Clayey,56.00%,48,78,50,530 mm,Punjab,Rabi,"['Rice', 'Jute']"
Black Cotton Soil,57.00%,41,83,77,791 mm,Karnataka,Rabi,['Sorghum']
Silty Loam,13.00%,80,74,94,841 mm,Maharashtra,Kharif,"['Mustard', 'Vegetables', 'Pulses']"
Loamy,44.00%,120,86,58,489 mm,Andhra Pradesh,Kharif,"['Barley', 'Maize']"
Black Cotton Soil,34.00%,79,89,41,584 mm,Punjab,Zaid,['Sorghum']
Silty Loam,40.00%,57,86,28,654 mm,Tamil Nadu,Rabi,"['Mustard', 'Vegetables']"
Black Cotton Soil,33.00%,100,70,89,885 mm,Punjab,Kharif,"['Soybean', 'Cotton', 'Sorghum']"
Sandy Loam,12.00%,31,59,56,494 mm,Odisha,Rabi,['Cotton']
Loamy,44.00%,78,59,108,884 mm,Andhra Pradesh,Zaid,"['Barley', 'Maize', 'Wheat']"
Black Cotton Soil,12.00%,53,28,50,875 mm,Punjab,Kharif,"['Sorghum', 'Soybean']"
Clayey,58.00%,59,45,65,687 mm,Andhra Pradesh,Zaid,['Jute']
Black Cotton Soil,14.00%,119,84,21,719 mm,West Bengal,Zaid,['Cotton']
Black Cotton Soil,14.00%,101,85,88,1124 mm,Karnataka,Zaid,"['Cotton', 'Sorghum', 'Soybean']"
Loamy,18.00%,92,45,32,672 mm,Odisha,Kharif,"['Wheat', 'Maize', 'Barley']"
Silty Loam,58.00%,35,21,93,1041 mm,Maharashtra,Kharif,"['Pulses', 'Vegetables']"
Sandy Loam,37.00%,66,84,96,692 mm,West Bengal,Kharif,"['Cotton', 'Chickpea', 'Groundnut']"
Loamy,25.00%,65,61,33,1146 mm,West Bengal,Kharif,"['Maize', 'Wheat']"
Black Cotton Soil,37.00%,112,70,68,810 mm,Karnataka,Rabi,"['Cotton', 'Soybean']"
Loamy,43.00%,88,62,40,421 mm,West Bengal,Kharif,['Barley']
Clayey,36.00%,73,66,91,522 mm,Maharashtra,Rabi,"['Jute', 'Rice', 'Sugarcane']"
Silty Loam,26.00%,52,27,89,1158 mm,Karnataka,Rabi,['Pulses']
Black Cotton Soil,34.00%,115,28,40,596 mm,Punjab,Rabi,['Soybean']
Sandy Loam,34.00%,118,73,82,499 mm,Punjab,Kharif,['Chickpea']
Black Cotton Soil,47.00%,61,67,76,634 mm,Karnataka,Kharif,"['Sorghum', 'Cotton', 'Soybean']"
Black Cotton Soil,32.00%,99,85,76,1132 mm,Maharashtra,Kharif,"['Sorghum', 'Cotton']"
Black Cotton Soil,40.00%,97,35,93,750 mm,West Bengal,Zaid,['Soybean']
Black Cotton Soil,26.00%,64,79,77,437 mm,West Bengal,Kharif,['Cotton']
Loamy,41.00%,41,73,54,681 mm,Maharashtra,Rabi,['Barley']
Black Cotton Soil,24.00%,83,54,51,773 mm,Tamil Nadu,Zaid,['Sorghum']
Clayey,56.00%,90,52,20,659 mm,West Bengal,Zaid,"['Jute', 'Rice', 'Sugarcane']"
Clayey,46.00%,86,27,70,639 mm,Tamil Nadu,Rabi,"['Sugarcane', 'Jute', 'Rice']"
Silty Loam,53.00%,63,24,35,885 mm,West Bengal,Rabi,['Vegetables']
Silty Loam,43.00%,40,85,55,858 mm,Punjab,Zaid,"['Mustard', 'Vegetables', 'Pulses']"
Black Cotton Soil,18.00%,116,64,49,1113 mm,Andhra Pradesh,Rabi,"['Sorghum', 'Soybean', 'Cotton']"
Clayey,58.00%,95,56,31,972 mm,Andhra Pradesh,Kharif,"['Jute', 'Sugarcane', 'Rice']"
Black Cotton Soil,21.00%,31,32,107,980 mm,Andhra Pradesh,Rabi,['Sorghum']
Black Cotton Soil,29.00%,66,58,22,627 mm,West Bengal,Zaid,"['Cotton', 'Sorghum', 'Soybean']"
Sandy Loam,52.00%,30,49,29,411 mm,Punjab,Kharif,"['Groundnut', 'Cotton', 'Chickpea']"
Clayey,48.00%,117,79,29,501 mm,West Bengal,Zaid,['Jute']
Silty Loam,16.00%,34,87,64,473 mm,Odisha,Zaid,"['Vegetables', 'Pulses']"
Loamy,23.00%,82,20,50,505 mm,West Bengal,Rabi,"['Barley', 'Wheat']"
Silty Loam,48.00%,44,41,56,819 mm,Karnataka,Kharif,['Vegetables']
Clayey,44.00%,67,25,33,791 mm,Punjab,Kharif,"['Rice', 'Jute']"
Loamy,46.00%,75,62,59,349 mm,Tamil Nadu,Rabi,"['Wheat', 'Maize']"
Silty Loam,22.00%,64,79,90,1087 mm,Maharashtra,Kharif,"['Vegetables', 'Pulses']"
Black Cotton Soil,60.00%,44,70,22,413 mm,Karnataka,Kharif,"['Cotton', 'Soybean', 'Sorghum']"
Silty Loam,56.00%,48,59,89,879 mm,West Bengal,Zaid,['Pulses']
Black Cotton Soil,53.00%,91,42,62,572 mm,Karnataka,Rabi,"['Soybean', 'Cotton']"
Clayey,46.00%,49,21,56,848 mm,Karnataka,Kharif,"['Rice', 'Sugarcane']"
Sandy Loam,53.00%,90,63,94,993 mm,Punjab,Zaid,['Chickpea']
Black Cotton Soil,51.00%,35,49,89,392 mm,Andhra Pradesh,Kharif,['Soybean']
Sandy Loam,26.00%,36,47,110,458 mm,Punjab,Zaid,"['Chickpea', 'Groundnut']"
Black Cotton Soil,31.00%,32,35,74,618 mm,Maharashtra,Kharif,"['Soybean', 'Cotton', 'Sorghum']"
Black Cotton Soil,11.00%,83,46,102,541 mm,Punjab,Kharif,"['Cotton', 'Sorghum', 'Soybean']"
Loamy,11.00%,54,84,42,489 mm,Karnataka,Zaid,['Maize']
Silty Loam,52.00%,101,53,23,527 mm,Karnataka,Rabi,['Vegetables']
Sandy Loam,59.00%,57,74,58,725 mm,Punjab,Rabi,['Cotton']
Black Cotton Soil,20.00%,86,40,82,750 mm,Punjab,Rabi,"['Cotton', 'Sorghum', 'Soybean']"
Clayey,49.00%,47,73,84,879 mm,West Bengal,Kharif,['Jute']
Silty Loam,54.00%,106,33,83,648 mm,Andhra Pradesh,Rabi,"['Vegetables', 'Mustard', 'Pulses']"
Sandy Loam,23.00%,42,45,61,701 mm,Karnataka,Rabi,"['Groundnut', 'Cotton']"
Silty Loam,19.00%,104,34,28,491 mm,Maharashtra,Zaid,"['Pulses', 'Mustard', 'Vegetables']"
Black Cotton Soil,31.00%,55,67,109,804 mm,Maharashtra,Rabi,"['Soybean', 'Cotton', 'Sorghum']"
Clayey,47.00%,113,84,101,461 mm,West Bengal,Kharif,"['Rice', 'Sugarcane', 'Jute']"
Clayey,12.00%,59,60,62,786 mm,Punjab,Kharif,['Jute']
Loamy,38.00%,99,47,31,1140 mm,Punjab,Kharif,"['Maize', 'Barley', 'Wheat']"
Clayey,34.00%,81,36,57,635 mm,Maharashtra,Kharif,"['Jute', 'Rice']"
Loamy,11.00%,63,85,106,537 mm,Tamil Nadu,Zaid,"['Maize', 'Barley']"
Loamy,22.00%,65,82,87,960 mm,Andhra Pradesh,Zaid,"['Barley', 'Maize', 'Wheat']"
Clayey,28.00%,44,78,103,1107 mm,Andhra Pradesh,Kharif,"['Jute', 'Rice']"
Sandy Loam,18.00%,46,49,60,953 mm,Karnataka,Rabi,['Cotton']
Silty Loam,58.00%,45,81,78,818 mm,West Bengal,Kharif,['Mustard']
Clayey,51.00%,94,39,61,1004 mm,Maharashtra,Zaid,"['Jute', 'Rice']"
Sandy Loam,58.00%,79,86,38,1140 mm,Tamil Nadu,Rabi,"['Chickpea', 'Cotton']"
Black Cotton Soil,11.00%,119,27,20,1199 mm,West Bengal,Rabi,['Sorghum']
Sandy Loam,20.00%,108,90,24,404 mm,Punjab,Kharif,"['Chickpea', 'Groundnut', 'Cotton']"
Sandy Loam,30.00%,52,20,94,766 mm,Maharashtra,Kharif,"['Groundnut', 'Chickpea', 'Cotton']"
Clayey,20.00%,84,51,54,1087 mm,West Bengal,Zaid,"['Sugarcane', 'Jute']"
Clayey,40.00%,44,20,110,982 mm,Tamil Nadu,Rabi,"['Jute', 'Sugarcane']"
Clayey,42.00%,77,56,26,300 mm,Maharashtra,Kharif,"['Sugarcane', 'Jute', 'Rice']"
Silty Loam,36.00%,88,28,95,1031 mm,Odisha,Rabi,"['Vegetables', 'Mustard']"
Silty Loam,50.00%,93,56,47,1060 mm,Andhra Pradesh,Zaid,"['Pulses', 'Mustard']"
Sandy Loam,36.00%,91,36,54,421 mm,Karnataka,Zaid,"['Groundnut', 'Cotton']"
Loamy,34.00%,75,44,21,891 mm,Odisha,Zaid,['Wheat']
Black Cotton Soil,43.00%,33,49,101,660 mm,West Bengal,Zaid,"['Cotton', 'Sorghum', 'Soybean']"
Loamy,54.00%,52,24,40,456 mm,Maharashtra,Rabi,"['Maize', 'Wheat']"
Silty Loam,52.00%,63,62,65,750 mm,Karnataka,Zaid,['Pulses']
Black Cotton Soil,53.00%,60,74,59,321 mm,Karnataka,Zaid,"['Sorghum', 'Cotton', 'Soybean']"
Black Cotton Soil,48.00%,34,68,57,843 mm,Odisha,Zaid,['Sorghum']
Clayey,43.00%,57,55,44,1136 mm,West Bengal,Rabi,['Sugarcane']
Clayey,35.00%,59,28,96,858 mm,Odisha,Kharif,['Rice']
Black Cotton Soil,44.00%,108,33,104,424 mm,Odisha,Kharif,"['Sorghum', 'Soybean']"
Silty Loam,58.00%,44,74,100,305 mm,Odisha,Rabi,"['Vegetables', 'Mustard', 'Pulses']"
Black Cotton Soil,12.00%,87,42,90,383 mm,Punjab,Zaid,"['Cotton', 'Sorghum']"
Silty Loam,10.00%,98,83,103,490 mm,Karnataka,Zaid,"['Mustard', 'Pulses', 'Vegetables']"
Clayey,45.00%,115,46,106,714 mm,Andhra Pradesh,Kharif,['Jute']
Clayey,39.00%,60,84,90,610 mm,Tamil Nadu,Zaid,['Rice']
Sandy Loam,26.00%,71,52,103,541 mm,Andhra Pradesh,Zaid,"['Groundnut', 'Chickpea']"
Black Cotton Soil,57.00%,101,70,29,754 mm,Tamil Nadu,Rabi,"['Soybean', 'Sorghum']"
Sandy Loam,55.00%,59,40,66,749 mm,Punjab,Zaid,"['Chickpea', 'Cotton', 'Groundnut']"
Silty Loam,16.00%,33,81,108,806 mm,Tamil Nadu,Rabi,['Vegetables']
Clayey,21.00%,108,87,71,326 mm,Maharashtra,Rabi,"['Sugarcane', 'Rice', 'Jute']"
Black Cotton Soil,47.00%,103,73,39,1072 mm,Tamil Nadu,Rabi,"['Cotton', 'Sorghum', 'Soybean']"
Silty Loam,14.00%,52,58,97,1170 mm,Andhra Pradesh,Zaid,"['Pulses', 'Vegetables', 'Mustard']"
Black Cotton Soil,25.00%,74,39,86,1071 mm,West Bengal,Rabi,"['Soybean', 'Sorghum', 'Cotton']"
Loamy,46.00%,71,44,79,334 mm,Odisha,Zaid,['Wheat']
Silty Loam,23.00%,66,82,56,429 mm,Maharashtra,Kharif,"['Pulses', 'Vegetables']"
Loamy,49.00%,30,90,31,971 mm,Tamil Nadu,Rabi,"['Barley', 'Maize', 'Wheat']"
Sandy Loam,45.00%,101,82,55,590 mm,Punjab,Kharif,['Chickpea']
Clayey,22.00%,94,47,92,892 mm,Odisha,Zaid,['Sugarcane']
Silty Loam,26.00%,84,74,85,996 mm,West Bengal,Zaid,['Vegetables']
Sandy Loam,38.00%,61,33,90,483 mm,Andhra Pradesh,Zaid,"['Chickpea', 'Cotton']"
Loamy,53.00%,38,73,103,871 mm,Odisha,Kharif,"['Barley', 'Maize']"
Silty Loam,54.00%,94,62,88,1042 mm,Punjab,Kharif,"['Vegetables', 'Mustard', 'Pulses']"
Loamy,34.00%,66,25,39,480 mm,West Bengal,Rabi,"['Maize', 'Barley']"
Sandy Loam,32.00%,91,56,77,452 mm,Odisha,Rabi,['Cotton']
Loamy,47.00%,97,88,107,303 mm,Odisha,Rabi,"['Wheat', 'Barley']"
Black Cotton Soil,38.00%,103,61,82,323 mm,Punjab,Rabi,['Cotton']
Black Cotton Soil,43.00%,45,73,96,1060 mm,Odisha,Kharif,"['Cotton', 'Soybean', 'Sorghum']"
Silty Loam,59.00%,47,74,98,975 mm,Karnataka,Kharif,['Mustard']
Black Cotton Soil,57.00%,70,35,80,668 mm,Maharashtra,Rabi,"['Sorghum', 'Cotton', 'Soybean']"
Loamy,30.00%,114,51,68,1142 mm,Maharashtra,Kharif,['Maize']
Sandy Loam,42.00%,46,57,73,1061 mm,Maharashtra,Zaid,['Chickpea']
Silty Loam,17.00%,120,52,22,841 mm,Maharashtra,Kharif,"['Vegetables', 'Mustard', 'Pulses']"
Loamy,21.00%,35,52,106,1120 mm,Maharashtra,Rabi,['Wheat']
Silty Loam,14.00%,98,41,103,587 mm,Maharashtra,Zaid,['Vegetables']
Black Cotton Soil,43.00%,114,60,78,1174 mm,Karnataka,Rabi,['Sorghum']
Silty Loam,36.00%,104,68,36,1190 mm,Tamil Nadu,Rabi,"['Mustard', 'Vegetables']"
Clayey,52.00%,105,32,35,1163 mm,Karnataka,Rabi,"['Jute', 'Sugarcane']"
Clayey,55.00%,119,76,101,1111 mm,West Bengal,Kharif,"['Jute', 'Sugarcane']"
Silty Loam,53.00%,52,79,78,489 mm,Punjab,Zaid,"['Vegetables', 'Pulses']"
Black Cotton Soil,20.00%,41,67,20,1106 mm,Andhra Pradesh,Kharif,['Soybean']
Sandy Loam,16.00%,55,39,58,747 mm,Tamil Nadu,Kharif,['Chickpea']
Sandy Loam,41.00%,73,21,49,806 mm,Punjab,Kharif,['Chickpea']
Sandy Loam,18.00%,89,64,100,1103 mm,Karnataka,Zaid,"['Groundnut', 'Chickpea', 'Cotton']"
Silty Loam,23.00%,55,46,58,884 mm,Tamil Nadu,Rabi,"['Pulses', 'Vegetables']"
Clayey,54.00%,79,84,99,825 mm,Punjab,Kharif,['Jute']
Silty Loam,20.00%,41,51,95,1192 mm,West Bengal,Kharif,['Mustard']
Loamy,53.00%,53,47,79,639 mm,Karnataka,Kharif,['Wheat']
Clayey,18.00%,107,67,55,580 mm,Andhra Pradesh,Kharif,"['Sugarcane', 'Jute', 'Rice']"
Sandy Loam,24.00%,89,76,86,417 mm,Andhra Pradesh,Kharif,"['Chickpea', 'Groundnut', 'Cotton']"
Black Cotton Soil,19.00%,84,67,33,812 mm,Andhra Pradesh,Zaid,"['Cotton', 'Sorghum']"
Clayey,42.00%,106,66,88,653 mm,Punjab,Zaid,"['Sugarcane', 'Rice', 'Jute']"
Loamy,54.00%,96,70,30,590 mm,Punjab,Zaid,['Maize']
Sandy Loam,26.00%,42,68,97,713 mm,Andhra Pradesh,Rabi,['Cotton']
Clayey,55.00%,89,57,20,729 mm,West Bengal,Zaid,['Rice']
Black Cotton Soil,22.00%,42,66,20,429 mm,Karnataka,Kharif,['Cotton']
Black Cotton Soil,38.00%,45,22,65,1068 mm,Andhra Pradesh,Rabi,['Cotton']
Silty Loam,19.00%,68,86,68,1080 mm,Maharashtra,Kharif,"['Vegetables', 'Pulses']"
Loamy,40.00%,45,57,97,533 mm,Maharashtra,Kharif,"['Maize', 'Barley', 'Wheat']"
Black Cotton Soil,11.00%,60,88,55,612 mm,Tamil Nadu,Rabi,"['Cotton', 'Soybean', 'Sorghum']"
Sandy Loam,26.00%,61,20,108,825 mm,Punjab,Rabi,['Groundnut']
Sandy Loam,24.00%,76,37,79,633 mm,Andhra Pradesh,Rabi,['Cotton']
Silty Loam,42.00%,80,74,107,1089 mm,West Bengal,Kharif,['Mustard']
Sandy Loam,12.00%,64,25,87,522 mm,Odisha,Rabi,"['Chickpea', 'Groundnut']"
Clayey,22.00%,86,71,45,595 mm,West Bengal,Zaid,"['Jute', 'Rice', 'Sugarcane']"
Silty Loam,18.00%,109,61,27,848 mm,Maharashtra,Zaid,['Pulses']
Sandy Loam,28.00%,51,23,44,1056 mm,Odisha,Rabi,['Chickpea']
Sandy Loam,29.00%,71,89,90,681 mm,Karnataka,Kharif,['Groundnut']
Black Cotton Soil,46.00%,32,79,51,628 mm,Punjab,Kharif,"['Soybean', 'Cotton']"
Sandy Loam,58.00%,103,28,44,925 mm,Odisha,Zaid,['Groundnut']
Black Cotton Soil,37.00%,105,21,108,397 mm,Tamil Nadu,Rabi,"['Soybean', 'Sorghum']"
Black Cotton Soil,14.00%,48,49,90,878 mm,Andhra Pradesh,Zaid,['Sorghum']
Loamy,52.00%,30,53,33,434 mm,Punjab,Kharif,"['Wheat', 'Barley', 'Maize']"
Clayey,27.00%,64,73,93,557 mm,Maharashtra,Rabi,"['Jute', 'Rice']"
Clayey,29.00%,91,88,86,430 mm,Andhra Pradesh,Rabi,"['Rice', 'Sugarcane']"
Silty Loam,33.00%,115,45,63,990 mm,Karnataka,Zaid,"['Vegetables', 'Pulses', 'Mustard']"
Black Cotton Soil,18.00%,101,65,107,557 mm,West Bengal,Rabi,['Cotton']
Black Cotton Soil,60.00%,38,61,97,581 mm,Punjab,Rabi,"['Soybean', 'Cotton']"
